id,img_path,overview,cat1_result,result
TEST_00000,./image/test/TEST_00000.jpg,신선한 재료로 정성을 다해 만들었다. 늘 변함없는 맛과 서비스로 모실것을 약속한다.,음식,한식
TEST_00001,./image/test/TEST_00001.jpg,"청청한 해역 등량만과 율포해수욕장이 한눈에 내려다 보이는 위치에 있으며, 막 잡은 어류로 만든 회와, 끓여먹는 탕맛은 해변에서만 느낄 수 있는 특미이다.",음식,일식
TEST_00002,./image/test/TEST_00002.jpg,"장터설렁탕은 남녀노소 누구나 즐길 수 있는 전통 건강식으로 좋은 재료와 전통 조리방식을 고수해 진한 국물 맛을 선보이는 음식점이다. 오랜 장터설렁탕의 비법으로 조미료를 사용하지 않아 담백하고, 진하고, 시원한 국물을 맛볼 수 있다. 설렁탕 외에도 다양하고 맛있는 메뉴가 있어 가족들과 함께 외식하기 좋다. 넓은 주차장과 아늑한 실내 인테리어로 가족 단위의 모임을 하기에 좋다.",음식,한식
TEST_00005,./image/test/TEST_00005.jpg,30여 년의 세월이 느껴지는 실내 분위기가 냉면 맛을 더욱 살린다.,음식,한식
TEST_00006,./image/test/TEST_00006.jpg,"코리달리스는 경기도 가평에 위치하고 있는 카페이다. 청명하고 맑은 호수 전경이 아름다운 카페로도 유명하다. 코리달리스의 좌석은 실내뿐만 아니라 야외 잔디밭에도 유리 큐브가 설치되어 있다. 앞으로는 청평 호수가 보이고 탁 트인 잔디밭과 하늘 아래서 카페의 음료를 마실 수 있는 개별 공간이다. 야외임에도 불구하고 쾌적한 환경에서 풍경을 감상하며 여유로운 시간을 보낼 수 있다. 유리 큐브 내부는 하얀 쿠션들과 좌식으로 구성되어 있어 전체적으로 편안한 분위기의 공간이다. 또한, 카페가 청평 페리 타는 곳과 바로 붙어있어 즐길 거리도 충분하다.",음식,바/까페
TEST_00007,./image/test/TEST_00007.jpg,신선한 닭갈비를 공급해서 판매하는 곳이다. 대표메뉴는 치즈닭갈비다. 강원도 원주시에 있는 한식전문점이다.,음식,한식
TEST_00011,./image/test/TEST_00011.jpg,"일번지자갈치산곰장어는 해운대 시장 내에 위치해 있다. 메뉴에는 양념구이, 소금구이, 통구이가 있으며 주문 시 연탄 초벌구이를 요청하면 곰장어를 연탄불에 초벌하여 제공한다.",음식,한식
TEST_00014,./image/test/TEST_00014.jpg,"33년 전통의 왕갈비 전문점으로 다진마늘, 통깨, 후추 등을 넣어 만든 갖은 양념과 정성스럽게 손질한 갈비를 왕갈비 조리실에서 참숯불에 구워 달구어진 철판에 담아 내면 육질이 부드럽고 씹는맛이 일품이다.",음식,한식
TEST_00015,./image/test/TEST_00015.jpg,"윤돈은 수원시 영통구에 있는 돈카츠 전문점이다. 윤돈의 돈카츠는 영하의 파동 숙성기에서 한 주, 누룩 소금으로 한 번 더 최소 한 주 이상 숙성과정을 거쳐서 만들어진다. 카츠와 잘 어우러지는 각종 곁들임과 돈지루의 조화로움까지 준비한다. 오픈 시간은 11:30~20:30 (평일 L.O 14:30, 20:00)이며, 브레이크 타임은  15:00~17:00 (토요일 L.O 15:00,20:00)이다. 재료 소진 시 조기마감하고 일요일은 휴무다.",음식,패밀리레스토랑
TEST_00033,./image/test/TEST_00033.jpg,오대산서울식당은 평창군 진부면에 위치한 산채요리 전문 음식점이다.,음식,한식
TEST_00047,./image/test/TEST_00047.jpg,"브런치 메뉴와 음료를 판매하고 있어, 식사하기 좋은 카페이다. 대표메뉴는 아메리카노다. 서울특별시 종로구에 있는 카페다.",음식,바/까페
TEST_00048,./image/test/TEST_00048.jpg,"낙산해수욕장이 바로 내다보이는 밀집된 횟집 촌에 비해 바다는 그리 잘 보이지 않지만 횟집촌만의 분주한 모습이 아닌 한적하고 조용한 분위기가 장점이다. 낙산 정인회식당은 주로 거진항과 대진항, 남해와 주문진에서 활어를 공급받아 하루를 넘기지 않고 사용하고 있다고 한다. 대형 수조의 활어들의 움직임을 보면 얼마나 신선한지 눈으로 직접 확인할 수 있다. 내부는 깔끔하고 환한 분위기이며 원목으로 된 식탁이 나무의 모습을 그대로 살린 기둥과 어우러져 독특한 분위기를 자아낸다. 주 메뉴는 활어회이지만 생태찌개와 알탕 등의 국물이 있는 찌개류 역시 시원한 맛이 일품이다.",음식,한식
TEST_00051,./image/test/TEST_00051.jpg,한돈 인증받은 돼지고기를 직원이 직접 구워주는 곳이다. 서울특별시 종로구에 있는 한식 전문점이다. 대표메뉴는 목살이다.,음식,한식
TEST_00052,./image/test/TEST_00052.jpg,다양한 국밥을 맛볼 수 있는 곳이다. 대표메뉴는 소머리곰탕이다. 강원도 강릉시에 있는 한식전문점이다.,음식,한식
TEST_00057,./image/test/TEST_00057.jpg,"구벼울은 양평군 옥천면에 있는 전망이 멋진 카페이다. 남한강의 아름다운 감동을 선사해주는 풍경이 아름다운 곳이다. 구벼울에서는 남한강의 아름다움과 해 질 녘 하늘에 붉게 물드는 노을, 윤슬, 철새들의 날갯짓 등 사계절의 변화를 온전히 느낄 수 있다. 구벼울은 강물이 굽어 여울져 흐르는 모습이 말발굽 모양을 닮은 지역을 이르는 순우리말이다. 대표 메뉴는 구벼울 커피와 더치커피가 있고 하우스브랜딩아메리카노도 손님들이 많이 찾는 메뉴다. 카페 주변에 가볼 만한 곳으로 사나사계곡, 사나사, 중미산자연휴양림 등이 있다.",음식,바/까페
TEST_00061,./image/test/TEST_00061.jpg,"경북 문경, 문경새재 도립공원 인근에 있는 음식점이다. 하늘재식당은 청국장, 간고등어, 산채비빔밥, 더덕구이 등을 메뉴로 한다.",음식,한식
TEST_00064,./image/test/TEST_00064.jpg,해방후 풍기에 정착하여 대를 이어 22년동안 평양냉면의 맛을 전수하고 있는 냉면 전문점이다. 메밀 함량을 높여 북쪽의 맛을 유지하고 있다고 한다. 겨울 동치미 맛이  담백하고 시원해 일품이며 한우불고기도 육수가 독특해 인기 있는 메뉴이다.,음식,한식
TEST_00065,./image/test/TEST_00065.jpg,"빌라드웨이브는 경상북도 포항시 북구 흥해읍 오도리에 있다. 바다와 맞닿아 있어 풍경을 감상하며 음식을 먹을 수 있다. 오후 6시 20분까지 영업하지만, 재료가 모두 소진되면 조기에 마감한다.대표 메뉴는 손수 손질해 숙성시킨 간장새우로 맛을 낸 간장새우 덮밥이다. 이 밖에 탱글탱글하고 쫄깃한 식감의 돌문어 덮밥, 영덕대게의 살과 대게장을 함께 비벼서 먹는 게살 덮밥도 별미다. 이 밖에 차돌박이 덮밥, 큐브스테이크 덮밥 등을 맛볼 수 있다.성곡IC에서 가깝고, 인근에 오도항, 이가리간이해변, 오도1리 간이해변이 있다.",음식,한식
TEST_00069,./image/test/TEST_00069.jpg,"나비산 기사식당은 경상북도 영덕군 강구면 오포리에 있다. 다양한 종류의 생선 매운탕이 있는 찌개 전문점으로 현지인들에게도 소문난 맛집이다. 단체석이 준비돼 있지만 점심시간엔 대기도 감수해야 한다. 밑반찬이 다양하고 테이블 형태에 따라 입식과 좌식을 선택할 수 있다.대표 메뉴는 동해에서 잡은 물가자미로 요리한 미주구리 찌개다. 이 밖에 겨울철 별미인 물곰탕(곰치탕)을 비롯해 도루묵찌개, 해물탕(바다 메기탕) 등도 맛볼 수 있다.영덕 IC에서 가깝고, 인근에 영덕대게거리, 공원해파랑, 삼사해상공원이 있다.",음식,한식
TEST_00075,./image/test/TEST_00075.jpg,"부산 수영구에 자리한 비건 베이커리 카페다. 비건(Vegan)은 고기나 우유, 달걀 따위의 동물성 식품을 전혀 먹지 않는 적극적인 개념의 채식주의자를 의미한다. 이는 단순한 취향의 문제가 아니라 과도한 육식으로 인한 산림 파괴와 다량의 메탄가스 배출 등 환경 오염을 막기 위한 실천적 운동이다. '꽃피는 4월 밀익는 5월'은 매장에서 직접 구운 비건빵과 레버 머신에서 수동으로 추출한 커피를 서빙한다. 올 비건의 브런치도 제공한다. 비건을 내세우지만 일반인들도 부담감 없이 즐길 수 있는 맛과 구성이 매력적이다. 메뉴뿐만이 아니다. 텀블러와 다회용기를 가지고 오거나 공병을 수거해 오면 할인 혜택을 제공한다. 또 휠체어 사용자를 위한 경사로와 장애인 화장실도 갖췄다. 나아가 유니섹스 및 성중립 화장실도 마련돼 있다.",음식,바/까페
TEST_00082,./image/test/TEST_00082.jpg,회식 및 모임을 하기 좋은 곳이다 서울특별시 서초구에 있는 양식전문점이다. 대표메뉴는 수제맥주다.,음식,서양식
TEST_00083,./image/test/TEST_00083.jpg,2대에 걸쳐 이어오고 있는 장원닭갈비는 40여 년의 전통을 가지고 있다. 양념을 직접 만들고 항상 주인이 가게에 상주하며 손님을 맞고 있다.,음식,한식
TEST_00087,./image/test/TEST_00087.jpg,"﻿경기도 구리시에 있는 베이커리 카페이다. 커다란 유리 창밖으로 우거진 나무가 보이고 실내에도 식물이 많이 배치되어 있어 녹음 속에서 차와 디저트를 즐길 수 있다. 여러 가지 맛의 빵들이 진열되어 있고 크레이프 케이크 등의 홀 케이크도 판매한다. 많은 종류의 빵들을 팔고 있지만 오후에 가면 인기 메뉴들은 매진되는 경우가 많다. 커피 종류도 다양하다. 디카페인 커피, 더치커피를 비롯해 여러 종류의 베리에이션 커피를 맛볼 수 있다. 낮엔 1, 2층의 넓은 좌석이 꽉 찰 정도로 인기가 많은 곳이다.",음식,바/까페
